district,region,status,regnum,orgname,prevorgname,ogrn,inn,kpp,legaladdress,actualaddress,mailingaddress,headname,phone,fax,email,applicationreq,decisionreq,infoinclusion,basis,actstatus,actrevision,decminenergo,chzone,boundaries,terms,services,annualvolume,amountelectricity,volumecitizens,requisitesorder,requisitesnotification,actloss,decisionloss,baseloss,orderexclude,notificationexclude,comments,revisionorder,orderschanges
Сибирский федеральный округ,Республика Алтай,ACTI,02/01,Муниципальное унитарное предприятие «Энергия»,,1050400862456,0411123087,040701001,"694156, Республика Алтай, Турочакский район, с. Бийка","694156, Республика Алтай, Турочакский район, с. Бийка","694156, Республика Алтай, Турочакский район, с. Бийка",Трапеева Анна Гавриловна,,,,,,,п. 36 г) ПП № 530,"Постановление Комитета по тарифам Республики Алтай от 20.12.2006 г. № 23/4 «О включении МУП «Энергия» Турочакского района в Реестр организаций Республики Алтай, в отношении которых осуществляются государственное регулирование и контроль» ",,,,"Границы зоны деятельности МУП «Энергия» Турочакского района в предедах сел Бийка, Чуйка, Яйлю, Курмач-Байгол, Суронаш Турочакского района
...",,"Купля-продажа
Генерация
Передача",-,"0,341 млн. кВтч – 2008 г.","0,439 млн. кВтч – 2008 г.",Приказ № 203-э от 20.08.2007,от 06.09.2007 г. № ЕЯ-5178/14,,,,,,"реорганизация, присоединение к ООО ""Коммунальное хозяйство Турочакского района"", исключение в ООО ""Солнечная энергия +""???","301-э от 30.06.2010
337-э от 29.06.2011
682-э от 28.10.2011
193-э от 05.03.2013",
Сибирский федеральный округ,Республика Алтай,ACTI,02/03,Муниципальное унитарное предприятие «Тон-Тыт»,,,0402603369,040201001,"649750, Республика Алтай, Улаганский район, с. Саратан, ул. Вагаева, 21","649750, Республика Алтай, Улаганский район, с. Саратан, ул. Вагаева, 21","649750, Республика Алтай, Улаганский район, с. Саратан, ул. Вагаева, 21",Карулов  Дъыргал Бипонович,,,,,,,п. 36 г) ПП № 530,"Постановление Комитета по тарифам Республики Алтай от 21.09.2007 г. № 9/10 «О включении МУП «Тон-Тыт» с. Язула Улаганского района в Реестр организаций Республики Алтай, в отношении которых осуществляются государственное регулирование и контроль» ",,,,"В границах балансовой принадлежности электрических сетей, принадлежащих МУП «Тон-Тыт» Улаганского района на праве собственности либо на ином законном основании, расположенных в административных границах села Язула Улаганского района...",,"Купля-продажа
Генерация
Передача",-,"0,053 млн. кВтч – 2008 г.","0,057 млн. кВтч – 2008  г.",Приказ № 72-э от 21.03.2008,от 09.04.2008 г. № НБ-1749/14,,,,,,"исключение, банкрот",,
Сибирский федеральный округ,Республика Алтай,DELD,02/04,Сельская администрация Челушманского сельского поселения Улаганского района,,1020400508314,0402001460,040201001,"649742, Республика Алтай, Улаганский район, с. Балыкча, ул. Центральная, 23 ","649742, Республика Алтай, Улаганский район, с. Балыкча, ул. Центральная, 23 ","649742, Республика Алтай, Улаганский район, с. Балыкча, ул. Центральная, 23 ",Тыпаев Виктор Гаврилович,,,,,,,п. 36 г) ПП № 530,"Постановление Комитета по тарифам Республики Алтай от 21.09.2007 г. № 9/11 «О включении Сельской администрации Челушманского сельского поселения Улаганского района в Реестр организаций Республики Алтай, в отношении которых осуществляются государственное р",,,,"В границах балансовой принадлежности электрических сетей, принадлежащих Сельской администрации Челушманского сельского поселения Улаганского района на праве собственности либо на ином законном основании, расположенных в административных границах сел Балык",,"Купля-продажа
Генерация
Передача",-,"0,294 млн. кВтч – 2008 г.","0,367 млн. кВтч – 2008 г.",Приказ № 72-э от 21.03.2008,от 09.04.2008 г. № НБ-1748/14,,,,,,,,
Сибирский федеральный округ,Республика Алтай,ACTI,02/07,Общество с ограниченной ответственностью «Джазаторская гидроэлектрическая станция» ,"Открытое акционерное общество""Джазаторская ГЭС""",1090401000293,0401007412,040101001,"649772, Республика Алтай, Кош-Агачский район, с. Беляши, ул. Центральная, 7 а","649772, Республика Алтай, Кош-Агачский район, с. Беляши, ул. Центральная, 7 а ","649772, Республика Алтай, Кош-Агачский район, с. Беляши, ул. Центральная, 7 а",Долженко Юрий Анатольевич,,,,,,,п. 36 г) ПП № 530,"Постановление Комитета по тарифам Республики Алтай от 26.10.2007 г. № 15/2 «О включении ОАО «Джазаторская гидроэлектрическая станция» с. Беляши Кош-Агачского района в Реестр организаций Республики Алтай, в отношении которых осуществляются государственное ",,,"(ранее - ОАО ""Джазаторская ГЭС"" - 02/02)","В границах балансовой принадлежности электрических сетей, принадлежащих с. Беляши Кош-Агачского района на праве собственности либо на ином законном основании, расположенных в административных границах с. Беляши Кош-Агачского района...",,"Купля-продажа
Передача",-,"0,490 млн. кВтч-2011 г.","1, 094  млн. кВтч – 2011 г.",Приказ № 190-э от 26.03.2012,от 30.03.2012 г. № ЕП-2491/14,,,,,,,,190-э от 26.03.2012
Сибирский федеральный округ,Республика Алтай,ACTI,02/08,"МУП ""Кайру""",,1190400002869,0400012642,040001001,"649742, республика Алтай, Улаганский район, село Балыкча, Центральная улица, дом 23","649742, республика Алтай, Улаганский район, село Балыкча, Центральная улица, дом 23","649742, республика Алтай, Улаганский район, село Балыкча, Центральная улица, дом 23",Суразаков Павел Сергеевич,,,,,приказ ФАС России от 30.01.2020 № 73/20,,пп 442,приказ Комитета по тарифам Республики Алтай от 23 января 2020 № 2-ВД,,,,"в административных   границах   сел  Балычка, Коо,   Кок   —   Паш Улаганского района Республики Алтай...",,Купля-продажа,,,,Приказ № 73/20 от 30.01.2020,,,,,,,,73/20  от 30.01.2020,
Сибирский федеральный округ,Республика Алтай,DELD,02/06,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,041100101,"119160, г. Москва, ул. Знаменка, 19","109044, г. Москва, Воронцовский пер., д. 2, стр. 1, офис 516","109044, г. Москва, Воронцовский пер., д. 2, стр. 1, офис 516",Дрегваль Сергей Георгиевич,"8-495-988-12-18, 8-383-248-92-59",,info19@sibir.oes.su,,,,п. 36 д) ПП № 530,Постановление Комитета по тарифам Республики Алтай от 23.09.2011 № 17/2,,,,"Границы балансовой принадлежности всех электрических сетей, принадлежащих на праве собственности или на ином законном основании организациям (сетевые организации, хозяйствующие субъекты), находящимся в ведении Министерства обороны Российской Федерации и (",,Купля-продажа,-,-,"0,55 млн. кВтч – 2011 г.

0,610 млн. кВтч – 2012 г.

0,355 млн. кВтч – 2013 г.",Приказ № 145-э от 06.03.2012,от 13.03.2012 г. № ЕП-1865/14,,,,Приказ № 190-э от 26.03.2012,от 30.03.2012 г. № ЕП-2492/14,исключениие по п.229 в 02/05,551-э от 30.03.2015,1399 от 23.12.2016
Приволжский федеральный округ,Республика Башкортостан,DELD,03/01,Башкирское открытое акционерное общество энергетики и электрификации «Башкирэнерго»,,,,,"450000, Республика Башкортостан, г. Уфа, ул. Карла Маркса, д. 30","450000, Республика Башкортостан, г. Уфа, ул. Карла Маркса, д. 30","450000, Республика Башкортостан, г. Уфа, ул. Карла Маркса, д. 30",Доронин Алексей Юрьевич,,,,,,,,В пределах Административной границы Республики Башкортостан ,,,,"В пределах Административной границы Республики Башкортостан
...",,Купля-продажа,-,,"3 590 млн. кВтч
",,,,,,Приказ № 16-э от 09.02.2007,от 04.02.2011 № ЕП- 804/14,,,
Приволжский федеральный округ,Республика Башкортостан,ACTI,03/02,Общество с ограниченной ответственностью «Энергетическая сбытовая компания Башкортостана»,Башкирское открытое акционерное общество энергетики и электрификации «Башкирэнерго»,1020202770642,0275038496,025250001,"450080, Республика Башкортостан, г. Уфа, ул. Ст. Злобина, д. 31/4","450080, Республика Башкортостан, г. Уфа, ул. Ст. Злобина, д. 31/4","450080, Республика Башкортостан, г. Уфа, ул. Ст. Злобина, д. 31/4",Козлов Олег Борисович,(347) 269-18-59,(347) 253-10-27,sit@eskb.bashkirenergo.ru,,,,"пп. 36 а), 42 ПП № 530 ","Постановления Государственного комитета Республики Башкортостан по тарифам от 14.04.2010 № 57, от от 30.01.2015 № 11",Постановление Государственного комитета Республики Башкортостан по тарифам от 23.08.11 № 165 ,,"(ранее - ОАО ""Башкирэнерго"" - 03/01) (-03/03) (+часть 03/03)","в административных границах Республики Башкортостан 
...",,Купля-продажа,"21 847,1 млн. кВтч – 2011

21 667,8 млн. кВтч – 2012

18 007,6 млн. кВтч – 2013
15 672,791 млн. кВтч – 2014 
14 266,339 млн. кВтч – 2015
13 442 514 000 млн. кВт.ч. - 2016 г.


","2 721,5 млн. кВтч – 2011
2 717,6 млн. кВтч – 2012
2 763,6 млн. кВтч – 2013
2 231,2 млн. кВтч – 2014
2 921, 04  млн. кВтч – 2015
2 981 534 999 млн. кВт.ч. - 2016 г.
","1 876,5 млн. кВтч – 2011
1 890,5 млн. кВтч – 2012
1 931,8 млн. кВтч – 2013
2 231,2 млн. кВтч – 2014
2 921,04 млн. кВтч – 2015
2 981 534 999 млн. кВт.ч. - 2016 г.",Приказ № 33-э от 28.01.2011,от 04.02.2011 № ЕП-803/14,,,,,,"изменение зоны по п.229, +часть 03/03",,"146-э от 06.03.2012
879-э от 30.04.2015"
Приволжский федеральный округ,Республика Башкортостан,DELD,03/03,Акционерное общество «Оборонэнергосбыт» ,,1097746448315,7704731218,027645001,"119160, г. Москва, ул. Знаменка, д. 19","109044, г. Москва, ул. Образцова, д. 4А, корп.1","109044, г. Москва, ул. Образцова, д. 4А, корп.1",Сундуков Олег Вячеславович,(495) 935-70-08,(495) 935-70-09,mee@ural.oes.su,,,,п. 36 д) ПП № 530,"Постановление Государственного комитета Республики Башкортостан от 23.08.2011 № 165, от 30.01.2015 № 11",,,(-часть в 03/02),на территории Республики Башкортостан в соответствии с приложением № 1 к постановлению Государственного комитета Республики Башкортостан по тарифам от         30 января 2015 г. № 11...,,Купля-продажа,"2,992 млн. кВтч – 2014
2,952 млн. кВтч – 2015","12,56 млн. кВтч – 2011
10,704 млн. кВтч – 2012
8,237 млн. кВтч – 2013
7,673 млн. кВтч – 2014
1,649 млн. кВтч – 2015","1,22 млн. кВтч – 2011
1,033 млн. кВтч – 2012
0,917 млн. кВтч – 2013
1,339 млн. кВтч – 2014
0 - 2015",Приказ № 146-э от 06.03.2012,от 13.03.2012 № ЕП-1853/14,,,,,,"изменение зоны по п.229, -часть в 03/02",,"879-э от 30.04.2015
1399 от 23.12.2016"
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/02,Муниципальное унитарное предприятие «Жилкомсервис»,,,,,"671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, 144","671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, 144","671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, 144",Елсуфьев Андрей Николаевич,,,,,,,,Приказ Республиканской службы по тарифам Республики Бурятия от 08.11.2006 г. № 1-ГП/16 «О согласовании зон деятельности гарантирующих поставщиков»,,,,"Границы балансовой принадлежности электрических сетей МУП «Жилкомсервис» Баунтовского района Республики Бурятия, к сетям которого присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком...",,"Генерация
Передача",-,,-,,,,,,Приказ № 17-э от 12.02.2007,от 20.05.2008 г. № НБ-2630/14,,,
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/06,Муниципальное унитарное предприятие «Жилищный коммунальный комплекс Баунтовского эвенкийского района»,Общество с ограниченной ответственностью «Энергосервис»,1110327014412,0302884980,030201001,"671510, Республика Бурятия, Баунтовский эвенкийский район, с. Багдарин, ул. Баунтовская, д. 144","671510, Республика Бурятия, Баунтовский эвенкийский район, с. Багдарин, ул. Баунтовская, д. 144","671510, Республика Бурятия, Баунтовский эвенкийский район, с. Багдарин, ул. Баунтовская, д. 144",Елсуфьев Андрей Николаевич,8(30153)42070 Андрей Копытин,,andreyavk@rambler.ru; gkhbagdarin@rambler.ru,,,,п. 233 ПП № 442,Приказ Республиканской службы по тарифам Республики Бурятия от 19.01.2012 г. № 1-ГП/2,,,"(ранее - ООО ""Энергосервис"" - 04/03 (ранее - МУП ""Жилкомсервис"" - 04/02)) ","В пределах границ балансовой принадлежности электрических сетей МУП «Жилищный коммунальный комплекс Баунтовского эвенкийского района» Республики Бурятия, к сетям которого присоединены потребители, подлежащие обслуживанию МУП «Жилищный коммунальный комплек",,"Купля-продажа
Генерация
Передача","-

1,7 млн. кВтч – 2013 г.","1,154 млн. кВтч – 2012 г.

0,867 млн. кВтч – 2013 г.","1,260 млн. кВтч – 2012 г.

0,986 млн. кВтч – 2013 г.",Приказ № 1115-э от 23.08.2013,от 26.08.2013 г. № СЗ-8737/14,,,,,,,,
Дальневосточный федеральный округ,Республика Бурятия,ACTI,04/07,"АО ""Читаэнергосбыт""",Открытое акционерное общество «Межрегиональная распределительная сетевая компания Сибири»,1057536132323,7536066430,753601001,"670047, г. Улан-Уде, ул. Сахьяновой, д. 5","670047, г. Улан-Уде, ул. Сахьяновой, д. 5.","670047, г. Улан-Уде, ул. Сахьяновой, д. 5.",Голиков Алексей Витальевич,(3022) 233399,(3022) 233398,delo@e-sbyt.ru,,,,п. 225 ПП № 442,,"Приказ Республиканской службы по тарифам Республики Бурятия от 29 января 2015 г. № 1/5, приказ  РСТ РБ о 22.12.2017 № 1/30",Приказ Минэнерго от 08.05.2014 № 252,"(ранее - ОАО ""МРСК Сибири"" - 04/05 (ранее - ОАО ""Бурятэнергосбыт"" - 04/01 (-04/04))) (+04/04)","В пределах административных границ Республики Бурятия, за исключением зоны деятельности МУП «ЖКХ Баунтовского эвенкийского района»...",,Купля-продажа,"1722,3  млн. кВтч
3176,98 млн. кВт.ч. - 2017 г.
3264,96 млн. кВт.ч. - 2019 г.","619,27 млн. кВтч
1211,90 млн. кВт.ч. - 2017 г.
1267,28 млн. кВт.ч. - 2019 г.","505,51 млн. кВтч
938,56 млн. кВт.ч. - 2017 г.
977,27 млн. кВт.ч. - 2019 г.",Приказ № 904-э от 03.06.2014,от 09.06.2014 г. № ЕП-6310/14,,,,,,изменение зоны по п.229 (+04/04),,653-э от 08.04.2015
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/08,"ООО ""Сибирь""",Муниципальное унитарное предприятие «Жилищный коммунальный комплекс Баунтовского эвенкийского района»,1040300150131,0302188366,030201001,"671510, РЕСПУБЛИКА БУРЯТИЯ, РАЙОН БАУНТОВСКИЙ ЭВЕНКИЙСКИЙ, СЕЛО БАГДАРИН, УЛИЦА БАУНТОВСКАЯ, ДОМ 144","671510, РЕСПУБЛИКА БУРЯТИЯ, РАЙОН БАУНТОВСКИЙ ЭВЕНКИЙСКИЙ, СЕЛО БАГДАРИН, УЛИЦА БАУНТОВСКАЯ, ДОМ 144","671510, РЕСПУБЛИКА БУРЯТИЯ, РАЙОН БАУНТОВСКИЙ ЭВЕНКИЙСКИЙ, СЕЛО БАГДАРИН, УЛИЦА БАУНТОВСКАЯ, ДОМ 144",,,,,,,,приказа Республиканской службы по тарифам Республики Бурятия от 22.12.2017 № 1/3,,,,,Баунтовского эвенкийского района Республики Бурятия...,,Купля-продажа,,,,Приказ № 142/18 от 06.02.2018,письмо от 26.02.2018 № ВК/12652/18,,,,,,,,
Дальневосточный федеральный округ,Республика Бурятия,ACTI,04/10,"ООО ""Энегостройсервис""",,1180327008234,0326561428,032601001,"670018, Республика Бурятия, г. Улан-Удэ, п. Аэропорт, д. 18, кв. 11 ","670018, Республика Бурятия, г. Улан-Удэ, п. Аэропорт, д. 18, кв. 11 ","670018, Республика Бурятия, г. Улан-Удэ, п. Аэропорт, д. 18, кв. 11 ",Цыдыпов Батор Тимурович,,,naydal2012@yandex.ru,,,,пп 442,,,,,"территория Баунтовского эвенкийского
района Республики Бурятия...",,,,,,Приказ № 134/22 от 18.02.2022,,,,,,,,,
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/09,Акционерное общество «Энергсервисная компания Сибири»,,1115543004280,5501231424,246301001,"660062, Красноярский край, г. Красноярск, ул. Вильского, д.7","660062, Красноярский край, г. Красноярск, ул. Вильского, д.7","660062, Красноярский край, г. Красноярск, ул. Вильского, д.7",Вебер Олег Викторович,8(391) 257-98-57,8(391) 257-98-57,,от 01.02.2021 №  81-04-12-и206/21,,,п. 233 пп 442,приказ Республиканской службы по тарифам Республики Бурятия от 29.01.2021 № 1/2,,,,территория   Баунтовского   эвенкийского   района Республики Бурятия...,,,,,,Приказ № 445/21 от 06.05.2021,от 18.05.2021 № 21/39416/21,,,,,,,,
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/04,Акционерное общество «Оборонэнергосбыт»,,,7704731218,753643001,"119160, г. Москва,ул. Знаменка, 19","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516",Дрегваль Сергей Георгиевич,,,,,,,п. 36 д) ПП № 530,Приказ Республиканской службы по тарифам Республики Бурятия от 06.07.2011 № 1-ГП/1,,,,"Границы балансовой принадлежности электрических сетей, принадлежащих на праве собственности или на ином законном основании организациям, находящимся в ведении Министерства обороны Российской Федерации и (или) образованным во исполнение Указа Президента Ро",,Купля-продажа,-,"2,023 млн. кВтч – 2011 г.

1,215 млн. кВтч – 2012 г.

1,255 млн. кВтч – 2013 г.
","103,890 млн. кВтч – 2011 г.

62,421 млн. кВтч – 2012 г.

64,488 млн. кВтч – 2013 г.
",Приказ № 599-э от 21.09.2011,от 23.09.2011 г. № ЕП-7556/14,,,,Приказ № 653-э от 08.04.2015,от 15.04.2015 № ЕП-4479/14,исключение по п.229 (-в 04/07),653-э от 08.04.2015,1399 от 23.12.2016
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/03,Общество с ограниченной ответственностью «Энергосервис»,,,0302884109,030201001,"671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, д. 144","671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, д. 144","671510, Республика Бурятия, Баунтовский район, с. Багдарин, ул. Баунтовская, д. 144",Янькова Наталья Артемовна,"+7(30153)41622, +7(30153)42070",,нет,,,,,Приказ Республиканской службы по тарифам Республики Бурятия от 27.12.2007 г. № 1-ГП/37 «О гарантирующем поставщике электрической энергии на территории Баунтовского района Республики Бурятия»,,,,"В пределах границ балансовой принадлежности электрических сетей
ООО «Энергосервис» Баунтовского района Республики Бурятия, к сетям которого присоединены потребители, подлежащие обслуживанию указанным гарантирующим поставщиком...",,"Купля-продажа
Генерация
Передача",-,,"0,93 млн. кВтч млн. кВтч – 2008 г.

0, 894 млн. кВтч млн. кВтч – 2009 г.",,,,,,Приказ № 159-э от 07.05.2008,от 26.08.2013 г. № СЗ-8738/14,,,
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/05,Открытое акционерное общество «Межрегиональная распределительная сетевая компания Сибири»,,1052460054327,2460069527,032603001,"660021, г. Красноярск, ул. Бограда, д. 144 А","660021, г. Красноярск, ул. Бограда, д. 144 А","660021, г. Красноярск, ул. Бограда, д. 144 А",Петухов Константин Юрьевич,+7(3012)45-30-65,,office@ul.mrsks.ru,,,,, ,,,,В пределах территории Республики Бурятия за исключением территории соответствующих зон деятельности МУП «Жилищный коммунальный комплекс Баунтовского эвенкийского района» и ОАО «Оборонэнергосбыт»...,,,"
Купля-продажа (поставка) электрической энергии",,"
1 148,838 млн. кВтч – 2012 г.

775,689 млн. кВтч – 2013 г.",,,,,,Приказ № 614-э от 20.05.2013,от 09.06.2014 № ЕП-6309/14,,,
Дальневосточный федеральный округ,Республика Бурятия,DELD,04/01,"ОАО ""Бурятэнергосбыт""",,1052460054327,2460069527,032301001,"660021,г.Красноярс,ул. Бограда, 144А","660021,г.Красноярс,ул. Бограда, 144А","660021,г.Красноярс,ул. Бограда, 144А",Петухов Константин Юрьевич ,7(391)274-41-74,7(391)274-41-25,mrsk@mrsks.ru,,,,,"Административные границы омской области, за исключением территории, соответствующей зоне деятельности гарантирующего поставщика ОАО «Оборонэнергосбыт»",,,,"Административные границы омской области, за исключением территории, соответствующей зоне деятельности гарантирующего поставщика ОАО «Оборонэнергосбыт...",,Купля-продажа,"1 471 180,646  тыс. кВтч",,"1 038 946,747 тыс. кВтч",,,,,,Приказ № 9-э от 22.01.2007,от 22.05.2013 г. № ЕП-4846/14,,,
Северо-Кавказский федеральный округ,Республика Дагестан,DELD,05/02,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,602745001,"119160, г. Москва, ул. Знаменка, 19","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516",Дрегваль Сергей Георгиевич,(3902) 22-55-29,,info19@sibir.oes.su,,,,п. 36 д) ПП № 530,Постановление РСТ РД от 12.07.2011 № 41 «О согласовании границ зоны деятельности гарантирующего поставщика ОАО «Оборонэнергосбыт» от 12.07.2011 № 41 ,,,,"На территории Республики Дагестан в границах балансовой принадлежности электрических сетей, принадлежащих на праве собственности или на ином законном основании организациям, находящимся в ведении Министерства обороны Российской Федерации и (или) образован",,Купля-продажа,-,"1,1 млн. кВтч – 2010 г.

1,047 млн. кВтч – 2011 г. (анкета ф-ла Южный)

1,478 млн. кВтч – 2012 г.

1,35 млн. кВтч – 2013 г.","25,30 млн. кВтч – 2010 г.

22,538 млн. кВтч – 2011 г. (анкета ф-ла Южный)

17,269 млн. кВтч – 2012 г.

16,43 млн. кВтч – 2013 г.
",Приказ № 810-э от 20.12.2011,от 26.12.2011 г. № ЕП-10769/14,,,,Приказ № 652-э от 08.04.2015,от 15.04.15 № ЕП-4477/14,"исключение по п.229, -в 05/01",652-э от 08.04.2015,1399 от 23.12.2016
Северо-Кавказский федеральный округ,Республика Дагестан,DELD,05/01,Открытое акционерное общество «Дагестанская энергосбытовая компания»,,1050562009926,0541031172,054150001,"367020, Республика Дагестан, г. Махачкала, ул. Дахадаева, 73","367020, Республика Дагестан, г. Махачкала, ул. Дахадаева, 73","367020, Республика Дагестан, г. Махачкала, ул. Дахадаева, 73",Касумов Джамал Гусейнович,(8793) 67-87-51,(8793) 68-21-10,sbyt@dagesk.ru,,,ACTI,п. 36 а) ПП № 530,Постановление Республиканской службы по тарифам Республики Дагестан от 29.01.2007 г. № 1 «О гарантирующем поставщике электрической энергии на территории Республики Дагестан» ,"(в редакции от 12.07.2011 № 41, от 22.01.2015 № 1)",,(- 05/02) (+05/02),"Административные границы Республики Дагестан

...",,Купля-продажа,"4 165 млн. кВтч – 2006 г.
4 208,9 млн. кВтч – 2007 г.
4 860,4 млн. кВтч – 2008 г.
4 499,619 млн. кВтч – 2009 г.
4 785,215 млн. кВтч – 2010 г.
5 200,493 млн. кВтч – 2011 г.
5 091,714 млн. кВтч – 2012 г.
5468,855 млн. кВтч – 2014 г.","2 178,8 млн. кВтч – 2006 г.
1 290,7 млн. кВтч – 2007 г.
1 167,5 млн. кВтч – 2008 г.
1 187,939 млн. кВтч – 2009 г.
1 317,054 млн. кВтч – 2010 г.
1 200,687 млн. кВтч – 2011 г.
1 132,687 млн. кВтч – 2012 г.
1823,473 млн. кВтч – 2014 г","1 950 млн. кВтч – 2006 г.
1 037,7 млн. кВтч – 2007 г.
949,9 млн. кВтч -2008 г.
964,358 млн. кВтч – 2009 г.
1 106,304 млн. кВтч – 2010 г.
9943845 млн. кВтч – 2011 г.
938,217 млн.кВтч – 2012 г.
1513,769 млн. кВтч – 2014 г",Приказ № 16-э от 09.02.2007,от 14.02.2007 г. № ЕЯ-803/14,,,,,,,"433-э от 24.11.2008
86-э от 16.04.2009
388-э от 16.08.2010
33-э от 28.01.2011
154-э от 19.04.2011
288-э от 24.04.2012
453-э от 03.07.2012
192-э от 05.03.2013
1335-э от 26.08.2014
1217-э от 17.06.2015","16-э от 09.02.2007
810-э от 20.12.2011
652-э от 08.04.2015"
Северо-Кавказский федеральный округ,Республика Дагестан,ACTI,05/03,"ПАО ""Россети Северный Кавказ""",,1062632029778,2632082033,072103002,"Российская Федерация, 357506, Ставропольский край, город Пятигорск, улица Подстанционная, дом 13А.","Российская Федерация, 357506, Ставропольский край, город Пятигорск, улица Подстанционная, дом 13А.","Российская Федерация, 357506, Ставропольский край, город Пятигорск, улица Подстанционная, дом 13А.",Левченко Роман Алексеевич,8 (8793) 34-66-80; -81; -82,8 (8793) 40-18-20, info@rossetisk.ru,,,,приказ Минэнерго России от 25 июня 2021 № 496,,,,,административные границы Республики Дагестан...,с 01.01.2021,Передача,,,,Приказ № 828/21 от 17.08.2021,,,,,,,,,
Северо-Кавказский федеральный округ,Республика Ингушетия,DELD,06/02,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,230843003,"119160, г. Москва,ул. Знаменка, 19","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516","109044, г. Москва, Воронцовский пер.,д. 2, стр. 1, офис 516",Дрегваль Сергей Георгиевич,,,,,,,п. 36 д) ПП № 530 ,Постановление Региональной энергетической комиссии Республики Ингушетия от 11.07.2011 № 5,,,,"Границы балансовой принадлежности всех электрических сетей, принадлежащих на праве собственности или ином законном основании организациям (сетевые организации, хозяйствующие субъекты), находящимся в ведении Минобороны и (или) образованным во исполнение Ук",,Купля-продажа,-,"2,33 млн. кВтч – 2010 г.

2,083 млн. кВтч – 2011 г. (анкета ф-ла Южный)

1,803 млн. кВтч – 2012 г.

1,36 млн. кВтч – 2013 г.
",-,Приказ № 647-э от 18.10.2011,от 24.10.2011 г. № ЕП-8346/14,,,,Приказ № 1163-э от 09.06.2015,,"исключение по п.229, -в 06/01 ПРОЕКТ ПРИКАЗА",,1399 от 23.12.2016
Северо-Кавказский федеральный округ,Республика Ингушетия,DELD,06/01,Открытое акционерное общество энергетики и электрификации «Ингушэнерго»,,1020600986042,0602013494,060601001,"386100, Республика Ингушетия, г. Назрань,ул. Чеченская, 5","386100, Республика Ингушетия, г. Назрань,ул. Чеченская, 5","386100, Республика Ингушетия, г. Назрань,ул. Чеченская, 5",Бузуртанов Берс Хаджимуратович,(8732) 22-96-64,(8732) 22-18-15,ingushenergo@mail.ru,,,ACTI,п. 36 а) ПП № 530,Постановление Региональной энергетической комиссии Республики Ингушетия от 30.01.2007 № 1 ,"(в редакции от 11.07.2011 № 5, от 30.01.2015 № 01)",Приказ Минэнерго России от 25.11.2015 № 888,(- 06/02),Административные границы Республики Ингушетия ...,,"Купля-продажа
Передача","449,7 млн. кВтч – 2006 г.
531,008 млн. кВтч – 2009 г.
614,251 млн. кВтч – 2011 г.
225,052 млн. кВтч – 2012 г.
655,396 млн. кВтч – 2014 г.","150,282 млн. кВтч – 2006 г.
197,104 млн. кВтч – 2009 г.
176,918 млн. кВтч – 2011 г.
231,107 млн. кВтч – 2012 г.","-

319,629 млн. кВтч – 2011 г.

378,516 млн. кВтч – 2012 г.",Приказ № 47-э от 03.04.2007,от 06.04.2007 г. № ЕЯ-1787/14,,Приказ Минэнерго России от 25.11.2015 № 888,,,,,"432-э от 24.11.2008
393-э от 05.11.2009
430-э от 02.12.2009
472-э от 24.12.2009
25-э от 28.01.2010
454-э от 16.09.2010
643-э от 18.10.2011
193-э от 05.03.2013
407-э от 15.04.2013
174-э от 13.02.2014","647-э от 18.10.2011
1163-э от 09.06.2015
№ 888 от 25.11.2015"
